,author,PhD publication year,university name,country name,PhD title,subject,number of mentors,mentors,number of students,students
13,Cecilio  Angulo,2001,Universitat Politècnica de Catalunya,Spain,Aprendizaje con màquinas núcleo en entornos de multiclasificación,68—Computer science,1,['Andreu  Català'],1,"['Ruiz Vegas, Francisco Javier']"
14,Josep-Lluis  Arcos,1997,Universitat Politècnica de Catalunya,Spain,The Noos Representation Language,68—Computer science,1,['Enric  Plaza'],5,"['Fernandez-Marquez, Jose Luis', 'Grachten, Maarten', 'Mulayim, Mehmet Oguz', 'Ozaslan, Tan', 'Sanchez-Pinsach, David']"
15,Jesus  Arias Fisteus,2005,Universidad Carlos III de Madrid,Spain,Definición de un Modelo Formal para la Verificación de Procesos de Negocio,68—Computer science,1,['Carlos  Delgado Kloos'],0,[]
16,Julián David Arias-Londoño,2010,Universidad Nacional de Colombia and Universidad Politécnica de Madrid,Colombia,"Stochastic characterization of nonlinear
dynamics for the automatic evaluation of
voice quality",68—Computer science,2,"['Juan Ignacio Godino-Llorente', 'César Germán Castellanos-Domínguez']",0,[]
17,Eva  Armengol,1997,Universitat Politècnica de Catalunya,Spain,A Framework for Integrated Learning and Problem Solving,68—Computer science,1,['Enric  Plaza'],0,[]
18,Tiago da Cruz Asmus,2022,Universidad Publica de Navarra,Spain,"A framework for general fusion processes under uncertainty modeling control, with an application in interval-valued fuzzy rule-based classification systems",68—Computer science,2,"['Graçaliz Pereira Dimuro', 'Humberto Nicanor Bustince-Sola']",0,[]
19,Manuel  Baena-García,2011,Universidad de Málaga,Spain,"Algoritmos, estructuras y heurísticos para minería de cadenas",68—Computer science,1,['Rafael  Morales-Bueno'],1,"['Carmona-Cejudo, José M.']"
20,Michele  Baggi,2010,Universitat Politècnica de València,Spain,Rule-based Methodologies for the Specification and Analysis of Complex Computing Systems,68—Computer science,2,"['María  Alpuente', 'Moreno  Falaschi']",0,[]
21,Joaquin  Ballesteros,2017,Universidad de Málaga,Spain,Navigation system using passive collaborative control adapted to user profile for a rollator device,68—Computer science,1,['Cristina  Urdiales'],0,[]
22,Guillermo  Barrutieta Anduiza,2004,Universidad de Deusto,Spain,Selección de contenidos a partir de un corpus enriquecido y especializado para la generación personalizada de documentos,68—Computer science,2,"['Josuka  Dí\xadaz-Labrador', 'Joseba  Abaitua Odriozola']",0,[]
23,Montserrat  Batet,2011,Universitat Rovira i Virgili,Spain,Ontology Based Semantic Clustering,68—Computer science,2,"['Aida  Valls', 'Karina  Gibert']",0,[]
24,Atilim Gunes Baydin,2013,Universidad Autónoma de Barcelona,Spain,"Evolutionary Adaptation in Case-Based Reasoning: An application to
cross-domain analogies for mediation",68—Computer science,1,['Ramon  Lopez de Mantaras'],2,"['Gram-Hansen, Bradley', 'Szenicer, Alexandre']"
25,Javier  Bejar,1995,Universitat Politècnica de Catalunya,Spain,Adquisicion de Conocimiento en Dominios poco Estructurados,68—Computer science,1,['Ulises  Cortés'],2,"['Cortés, Atia', 'Manero, Jaume']"
26,José Manuel  Benítez Sánchez,1998,Universidad de Granada,Spain,Extracción de reglas difusas con y de redes neuronales artificiales,68—Computer science,1,['Ignacio  Requena Ramos'],0,[]
27,Roberto  Berjón Gallinas,2006,Universidad de Deusto,Spain,XDS: nuevo sistema para la integración de fuentes heterogéneas de información con XML,68—Computer science,2,"['Mª José  Gil Larrea', 'Ana  Fermoso García']",0,[]
28,Alberto  Blanco-Justicia,2017,Universitat Rovira i Virgili,Spain,Cryptographic protocols for privacy-aware and secure e-commerce,68—Computer science,1,['Josep  Domingo-Ferrer'],0,[]
29,Jesus  Bobadilla-Sancho,1998,Universidad Politécnica de Madrid,Spain,"Desarrollo de Algoritmos basados en Filtrado Adaptativo y su aplicación en
el estudio de la Fonética Acústica Española",68—Computer science,1,['Pedro  Gómez-Vilda'],0,[]
30,John Alexander Bohada,2012,Universitat Politècnica de Catalunya,Spain,"Automatic Production and Integration of Knowledge to the Support of the Decision and Planning Activities in Medical-Clinical Diagnosis, Treatment and Prognosis",68—Computer science,1,['David  Riano'],0,[]
31,Cruz Enrique  Borges Hernández,2011,Universidad de Cantabria,Spain,"Programación Genética, Algoritmos Evolutivos y Aprendizaje Inductivo: Hacia una solución al problema xvii de Smale en el caso real",68—Computer science,2,"['Luis Miguel  Pardo', 'Jose Luis  Montaña Arnaiz']",2,"['Kamara-Esteban, Oihane', 'Pijoan Lamas, Ander']"
32,Joan  Borràs,2015,Universitat Rovira i Virgili,Spain,Semantic Recommender Systems. Provision of personalised information about tourist activities,68—Computer science,2,"['Antonio  Moreno', 'Aida  Valls']",0,[]
33,Joan  Borrell i Viader,1997,Universidad Autónoma de Barcelona,Spain,Study and development of a cryptographic scheme to carry out secure voting on a local network,68—Computer science,1,['Josep  Rifà i Coma'],1,"['Garcia Alfaro, Joaquin']"
34,Ismel  Brito,2007,Universitat Politècnica de Catalunya,Spain,Distributed Constraint Satisfaction,68—Computer science,1,['Pedro  Meseguer'],0,[]
35,Julio  Brito-Santana,2012,Universidad de La Laguna,Spain,"Optimización de rutas de distribución con información y restricciones
difusas",68—Computer science,2,"['Jose-Andres  Moreno-Perez', 'Jose Luis  Verdegay']",0,[]
36,Lucas  Bueno Ruas de Oliveira,2016,Université de Bretagne-Sud and Instituto de Ciencias Matemáticas,France,Conception architecturale des systèmes robotiques orientée services / Architectural design of service-oriented robotic systems,68—Computer science,1,['Unknown'],0,[]
37,David  Buján,2016,Universidad de Deusto,Spain,Nuevas capacidades en el descubrimiento de recursos grid basadas en tecnologías semánticas,68—Computer science,2,"['Oscar  Corcho', 'Josuka  Dí\xadaz-Labrador']",0,[]
38,Didac  Busquets,2003,Universitat Politècnica de Catalunya,Spain,A Multiagent Approach to Qualitative Navigation in Robotics,68—Computer science,2,"['Ramon  Lopez de Mantaras', 'Carles  Sierra']",3,"['Muñoz Solà, Víctor', 'Murillo-Espinar, Javier', 'Petruzzi, Patricio']"
39,José Antonio  Cabezas,1994,Universidad de Salamanca,Spain,Programa numerico para determinar todas las soluciones del problema de posicion inverso en cualquier manipulador con seis pares,68—Computer science,2,"['Felipe  Montoya', 'Eduardo  Ruiz']",0,[]
40,Diego  Cabrera Mendieta,2018,Universidad de Sevilla,Spain,Modelado de Sistemas Dinámicos con Machine Learning: Aplicaciones al Mantenimiento Basado en la Condición,68—Computer science,1,['Fernando  Sancho Caparrini'],0,[]
41,Daniel Hugo  Cámpora-Pérez,2019,Universidad de Sevilla and CERN,Spain,Optimization of High-Throughput Real-Time Processes in Physics Reconstruction,68—Computer science,2,"['Agustín  Riscos-Núñez', 'Niko  Neufeld']",0,[]
42,Javier  Campos,1990,Universidad de Zaragoza,Spain,Performance Bounds for Synchronized Queueing Networks,68—Computer science,1,['Manuel  Silva'],0,[]
43,Jordi  Campos,2011,Universidad de Barcelona,Spain,Adaptive Organisation Centered Multi-Agent Systems,68—Computer science,2,"['Maite  Lopez-Sanchez', 'Marc  Esteva']",0,[]
44,Santiago  Canales,2004,Universidad Politécnica de Madrid,Spain,"Métodos heurísticos en problemas geométricos: Visibilidad, iluminación y vigilancia",68—Computer science,1,['Gregorio  Hernández-Peñalver'],0,[]
45,Antonio  Cano Gómez,2003,Université Paris Diderot - Paris 7 and Universitat Politècnica de València,France,Semigroupes ordonnés et opérations sur les langages rationnels,68—Computer science,2,"['Jean-Eric  Pin', 'José  Ruiz Ochando']",0,[]
